month	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
12	-0.593125	-0.204875	0.851541667	2.017583333	3.956291667	6.121229167	6.408604167
12	-0.98125	-0.38875	0.7756875	1.9390625	3.870291667	6.0465	6.349020833
12	-1.1175	-0.4409375	0.769208333	1.921625	3.837020833	6.018791667	6.333291667
1	-1.161041667	-0.466875	0.753479167	1.8939375	3.793770833	5.981895833	6.304479167
1	-1.218125	-0.491458333	0.745625	1.8783125	3.764979167	5.957666667	6.29225
1	-1.120833333	-0.343541667	0.928895833	2.062708333	3.943541667	6.148395833	6.491145833
1	-0.791458333	-0.250354167	0.884458333	1.990020833	3.8430625	6.043958333	6.3903125
1	-1.011875	-0.443125	0.697770833	1.801354167	3.650729167	5.8551875	6.218645833
1	-1.19375	-0.516875	0.677875	1.773604167	3.612645833	5.821354167	6.193708333
1	-1.124375	-0.450145833	0.743291667	1.832979167	3.663083333	5.876229167	6.257
1	-1.139375	-0.502208333	0.665333333	1.739166667	3.556208333	5.772916667	6.161104167
1	-1.026458333	-0.357916667	0.832166667	1.907479167	3.724604167	5.952291667	6.349895833
1	-0.752708333	-0.212708333	0.902083333	1.960541667	3.762541667	5.993375	6.393604167
1	-0.477083333	-0.11	0.898708333	1.941291667	3.730958333	5.964166667	6.3705625
1	-0.34375	-0.062604167	0.879083333	1.907395833	3.687458333	5.924916667	6.339854167
1	-0.33	-0.080791667	0.821458333	1.831583333	3.5963125	5.8335	6.254895833
1	-0.479583333	-0.158791667	0.773458333	1.775395833	3.530979167	5.7695	6.202541667
1	-0.697291667	-0.256041667	0.743125	1.739979167	3.489333333	5.7335	6.1760625
1	-0.643958333	-0.222291667	0.761916667	1.743708333	3.473958333	5.71825	6.163479167
1	-0.601041667	-0.227145833	0.723145833	1.695145833	3.41275	5.655375	6.1123125
1	-0.555625	-0.145541667	0.823375	1.790729167	3.499833333	5.747208333	6.210020833
1	-0.528125	-0.155208333	0.783520833	1.738354167	3.4339375	5.684208333	6.1489375
1	-0.561458333	-0.251770833	0.639375	1.579708333	3.259083333	5.503416667	5.977291667
1	-0.737083333	-0.352083333	0.582020833	1.52325	3.2	5.448354167	5.934
1	-0.721875	-0.315958333	0.624666667	1.550229167	3.2080625	5.4531875	5.941958333
1	-0.834791667	-0.379583333	0.589666667	1.5141875	3.1668125	5.4130625	5.912854167
1	-0.772083333	-0.278541667	0.70875	1.624104167	3.264729167	5.51525	6.013979167
1	-0.689375	-0.285979167	0.647104167	1.554083333	3.18025	5.424375	5.932354167
1	-0.729583333	-0.338958333	0.577958333	1.476583333	3.093125	5.337458333	5.848979167
1	-0.772708333	-0.3949375	0.511875	1.403770833	3.010770833	5.250416667	5.771791667
1	-0.842916667	-0.414979167	0.517875	1.406541667	3.008708333	5.249416667	5.776625
1	-0.828541667	-0.3725	0.573583333	1.460166667	3.056375	5.300666667	5.832645833
1	-0.722083333	-0.329291667	0.573104167	1.440916667	3.015604167	5.252333333	5.784458333
1	-0.841666667	-0.421166667	0.4941875	1.362270833	2.9339375	5.170041667	5.713666667
2	-0.787708333	-0.363541667	0.5505	1.412770833	2.976354167	5.214	5.759583333
2	-0.884791667	-0.462708333	0.444333333	1.299979167	2.855583333	5.090395833	5.64175
2	-0.795416667	-0.395979167	0.495645833	1.343583333	2.888770833	5.121083333	5.676625
2	-0.841041667	-0.4338125	0.45625	1.2965	2.831833333	5.059833333	5.6195
2	-0.847916667	-0.42	0.4778125	1.3173125	2.8489375	5.078770833	5.644708333
2	-0.858125	-0.426708333	0.467895833	1.299	2.8204375	5.04625	5.616020833
2	-0.815208333	-0.395166667	0.487416667	1.3098125	2.8204375	5.043270833	5.615916667
2	-0.887083333	-0.437	0.456625	1.277854167	2.784375	5.005958333	5.583541667
2	-0.892291667	-0.44875	0.437625	1.251875	2.750145833	4.969229167	5.551770833
2	-0.978958333	-0.498125	0.3998125	1.207166667	2.696125	4.911354167	5.4973125
2	-1.031666667	-0.48875	0.4445	1.257083333	2.747125	4.965395833	5.5571875
2	-0.810416667	-0.3606875	0.523166667	1.322979167	2.799604167	5.013520833	5.605041667
2	-0.698541667	-0.326041667	0.512875	1.307145833	2.777041667	4.990854167	5.582770833
2	-0.64	-0.3416875	0.449375	1.238416667	2.700125	4.906458333	5.506708333
2	-0.594583333	-0.317708333	0.453708333	1.239645833	2.6990625	4.907958333	5.509395833
2	-0.56	-0.286041667	0.4795	1.262354167	2.715395833	4.91975	5.528229167
2	-0.552083333	-0.281041667	0.474479167	1.244916667	2.688041667	4.892020833	5.497541667
2	-0.4045625	-0.15475	0.587229167	1.36025	2.800229167	5.003229167	5.615770833
2	-0.329041667	-0.105291667	0.6139375	1.378041667	2.807833333	5.007375	5.62075
2	-0.338541667	-0.144791667	0.544708333	1.295020833	2.7139375	4.913208333	5.525083333
2	-0.388541667	-0.239583333	0.424145833	1.171604167	2.584041667	4.776125	5.395041667
2	-0.309416667	-0.1775625	0.469333333	1.214145833	2.619916667	4.808333333	5.433041667
2	-0.319145833	-0.184208333	0.456375	1.1958125	2.595625	4.7819375	5.411041667
2	-0.35025	-0.206708333	0.429229167	1.1591875	2.548916667	4.730333333	5.361958333
2	-0.478125	-0.314166667	0.327729167	1.0531875	2.436416667	4.614875	5.250291667
2	-0.516041667	-0.33125	0.319041667	1.041645833	2.41925	4.597354167	5.23475
