year	doy	hour	CAM1_DBTCDT
2011	41	8	0.6265
2011	41	9	0.6235
2011	41	10	0.617
2011	41	11	0.6175
2011	41	12	0.6175
2011	41	13	0.62
2011	41	14	0.616
2011	41	15	0.6165
2011	41	16	0.6195
2011	41	17	0.6215
2011	41	18	0.6205
2011	41	19	0.623
2011	41	20	0.6245
2011	41	21	0.6245
2011	41	22	0.6255
2011	41	23	0.625
2011	42	0	0.625
2011	42	1	0.626
2011	42	2	0.626
2011	42	3	0.629
2011	42	4	0.6275
2011	42	5	0.6265
2011	42	6	0.6245
2011	42	7	0.629
2011	42	8	0.627
2011	42	9	0.6255
2011	42	10	0.625
2011	42	11	0.624
2011	42	12	0.623
2011	42	13	0.6225
2011	42	14	0.62
2011	42	15	0.6235
2011	42	16	0.6235
2011	42	17	0.625
2011	42	18	0.6255
2011	42	19	0.624
2011	42	20	0.6225
2011	42	21	0.6245
2011	42	22	0.621
2011	42	23	0.62
2011	43	0	0.622
2011	43	1	0.6225
2011	43	2	0.623
2011	43	3	0.6235
2011	43	4	0.623
2011	43	5	0.624
2011	43	6	0.6255
2011	43	7	0.6265
2011	43	8	0.627
2011	43	9	0.624
2011	43	10	0.622
2011	43	11	0.621
2011	43	12	0.6205
2011	43	13	0.6205
2011	43	14	0.62
2011	43	15	0.6215
2011	43	16	0.6225
2011	43	17	0.6215
2011	43	18	0.62
2011	43	19	0.621
2011	43	20	0.6215
2011	43	21	0.6215
2011	43	22	0.6195
2011	43	23	0.6195
2011	44	0	0.6305
2011	44	1	0.619
2011	44	2	0.622
2011	44	3	0.621
2011	44	4	0.623
2011	44	5	0.621
2011	44	6	0.621
2011	44	7	0.6235
2011	44	8	0.6225
2011	44	9	0.6215
2011	44	10	0.622
2011	44	11	0.623
2011	44	12	0.622
2011	44	13	0.62
2011	44	14	0.6175
2011	44	15	0.6135
2011	44	16	0.613
2011	44	17	0.615
2011	44	18	0.614
2011	44	19	0.615
2011	44	20	0.6135
2011	44	21	0.6125
2011	44	22	0.6125
2011	44	23	0.612
2011	45	0	0.611
2011	45	1	0.6105
2011	45	2	0.611
2011	45	3	0.6115
2011	45	4	0.6115
2011	45	5	0.611
2011	45	6	0.611
2011	45	7	0.6105
2011	45	8	0.61
2011	45	9	0.6095
2011	45	10	0.6085
2011	45	11	0.609
2011	45	12	0.6085
2011	45	13	0.6085
2011	45	14	0.608
2011	45	15	0.6095
2011	45	16	0.608
2011	45	17	0.6055
2011	45	18	0.6075
2011	45	19	0.6085
2011	45	20	0.608
2011	45	21	0.607
2011	45	22	0.6085
2011	45	23	0.6075
2011	46	0	0.607
2011	46	1	0.6085
2011	46	2	0.608
2011	46	3	0.609
2011	46	4	0.6095
2011	46	5	0.608
2011	46	6	0.608
2011	46	7	0.6085
2011	46	8	0.6095
2011	46	9	0.608
2011	46	10	0.608
2011	46	11	0.6055
2011	46	12	0.605
2011	46	13	0.6005
2011	46	14	0.5925
2011	46	15	0.5845
2011	46	16	0.5855
2011	46	17	0.588
2011	46	18	0.5895
2011	46	19	0.5885
2011	46	20	0.588
2011	46	21	0.587
2011	46	22	0.5865
2011	46	23	0.5885
2011	47	0	0.588
2011	47	1	0.587
2011	47	2	0.5895
2011	47	3	0.59
2011	47	4	0.59
2011	47	5	0.5885
2011	47	6	0.5885
2011	47	7	0.589
2011	47	8	0.5895
2011	47	9	0.586
2011	47	10	0.577
2011	47	11	0.58
2011	47	12	0.581
2011	47	13	0.581
2011	47	14	0.58
2011	47	15	0.573
2011	47	16	0.5745
2011	47	17	0.5755
2011	47	18	0.5765
2011	47	19	0.5745
2011	47	20	0.576
2011	47	21	0.5785
2011	47	22	0.5775
2011	47	23	0.578
2011	48	0	0.574
2011	48	1	0.5785
2011	48	2	0.577
2011	48	3	0.5735
2011	48	4	0.5735
2011	48	5	0.5745
2011	48	6	0.5735
2011	48	7	0.573
2011	48	8	0.573
2011	48	9	0.5735
2011	48	10	0.572
2011	48	11	0.5715
2011	48	12	0.57
2011	48	13	0.564
2011	48	14	0.561
2011	48	15	0.5565
2011	48	16	0.55
2011	48	17	0.549
2011	48	18	0.549
2011	48	19	0.5465
2011	48	20	0.547
2011	48	21	0.5455
2011	48	22	0.545
2011	48	23	0.5515
2011	49	0	0.549
2011	49	1	0.548
2011	49	2	0.545
2011	49	3	0.544
2011	49	4	0.545
2011	49	5	0.545
2011	49	6	0.546
2011	49	7	0.545
2011	49	8	0.5395
2011	49	9	0.54
2011	49	10	0.537
2011	49	11	0.5365
2011	49	12	0.5335
2011	49	13	0.5355
2011	49	14	0.5345
2011	49	15	0.533
2011	49	16	0.5355
2011	49	17	0.537
2011	49	18	0.5385
2011	49	19	0.538
2011	49	20	0.5375
2011	49	21	0.537
2011	49	22	0.535
2011	49	23	0.5375
2011	50	0	0.537
2011	50	1	0.538
2011	50	2	0.535
2011	50	3	0.5345
2011	50	4	0.536
2011	50	5	0.535
2011	50	6	0.5355
2011	50	7	0.537
2011	50	8	0.5365
2011	50	9	0.5355
2011	50	10	0.532
2011	50	11	0.533
2011	50	12	0.5345
2011	50	13	0.5345
2011	50	14	0.5325
2011	50	15	0.5405
2011	50	16	0.5415
2011	50	17	0.542
2011	50	18	0.542
2011	50	19	0.539
2011	50	20	0.539
2011	50	21	0.537
2011	50	22	0.5365
2011	50	23	0.5375
2011	51	0	0.538
2011	51	1	0.5375
2011	51	2	0.538
2011	51	3	0.538
2011	51	4	0.538
2011	51	5	0.5375
2011	51	6	0.538
2011	51	7	0.5385
2011	51	8	0.5405
2011	51	9	0.5415
2011	51	10	0.5415
2011	51	11	0.5415
2011	51	12	0.5415
2011	51	13	0.5385
2011	51	14	0.54
2011	51	15	0.5395
2011	51	16	0.538
2011	51	17	0.5355
2011	51	18	0.5345
2011	51	19	0.538
2011	51	20	0.538
