V1	V2
475	91.77083333
476	89.5
477	89.125
478	95.10416667
479	95.875
480	92.54166667
481	85.35416667
482	76.89583333
483	69.75
484	63.58333333
485	59.39583333
486	55.02083333
487	52.91666667
488	52.02083333
489	58.04166667
490	52.125
491	47.4375
492	46.25
493	51.52083333
494	49.125
495	45.77083333
496	40
497	35.97916667
498	30.375
499	25.89583333
500	21.20833333
501	15.47916667
502	10.60416667
503	9.4
504	-107.7692308
505	-109.6458333
506	-96.4375
507	-101.5208333
508	-105.4166667
509	-88.95833333
510	-56.89583333
511	-59.39583333
512	-72.16666667
513	-34.95833333
514	-6.4375
515	-17.9375
516	-25.83333333
517	-32.1875
518	-40.04166667
519	-48.77083333
520	-55.58333333
521	-58.6875
522	-65.4375
523	-66.89583333
524	-71.75
525	-76.0625
526	-81.0625
527	-80.85416667
528	-69.85416667
529	-80.83333333
530	-85.1875
531	-72.52083333
532	-72.125
533	-77.72916667
534	-78.8125
535	-82.33333333
536	-67.72916667
537	-17.9375
538	-27.6875
539	-37.75
540	-43.33333333
541	-44.89583333
542	-53.58333333
543	-58.1875
544	-61.70833333
545	-67.1875
546	-72.9375
547	-77.16666667
548	-80.625
549	-74.54166667
550	-50.75
551	-58.29166667
552	-62.625
553	-55.27083333
554	-56.29166667
555	-65.35416667
556	-73.1875
557	-78.58333333
558	-83.54166667
559	-88.97916667
560	-71.29166667
561	-63.29166667
562	-75.04166667
563	-72.10416667
564	-79.27083333
565	-86.22916667
566	-91.5
567	-95.875
568	-103.8958333
569	-110
570	-115.1458333
571	-119.9166667
572	-87.04166667
573	-70.89583333
574	-83.10416667
575	-92.0625
576	-97.14583333
577	-100.0416667
578	-105.7291667
579	-109.25
580	-115.3333333
581	-109.2083333
582	-84.25
583	-94.27083333
584	-101.0416667
585	-108.7291667
586	-112.4166667
587	-105.3125
588	-110.4166667
589	-117.4375
590	-119.4583333
591	-119.1666667
592	-123.4166667
593	-125.1875
594	-116.8958333
595	-120.8333333
596	-113.5208333
597	-104.9375
598	-113.9375
599	-117.2291667
600	-120.3333333
601	-126.8125
602	-131.8541667
603	-133.8958333
604	-140.5625
605	-150.2708333
606	-156.4583333
607	-160.25
