Group.1	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
91	-0.057541667	-0.008479167	0.383166667	1.0308125	2.224083333	4.151479167	4.772479167
92	-0.001166667	0.044125	0.4324375	1.088541667	2.281333333	4.2089375	4.831354167
93	-0.041625	0.012520833	0.39	1.036833333	2.220416667	4.144645833	4.767895833
94	-0.011395833	0.040958333	0.421354167	1.055291667	2.238020833	4.1575625	4.780958333
95	-0.102645833	-0.039604167	0.345083333	0.976416667	2.157875	4.076875	4.703083333
96	-0.053916667	0.01075	0.395520833	1.021625	2.197166667	4.111854167	4.738583333
97	-0.084875	-0.013645833	0.371041667	0.9935625	2.166458333	4.0796875	4.7065625
98	0.026041667	0.067916667	0.426895833	1.050541667	2.213729167	4.12375	4.750354167
99	0.069645833	0.074666667	0.395645833	1.035416667	2.197833333	4.1053125	4.729520833
100	0.046395833	0.0801875	0.4185	1.0129375	2.1715	4.074416667	4.6995
101	0.134145833	0.141354167	0.465291667	1.037354167	2.181458333	4.082666667	4.709020833
102	0.369229167	0.233833333	0.488666667	1.058604167	2.195708333	4.0959375	4.725104167
103	1.025020833	0.5429375	0.522979167	1.0341875	2.1475625	4.037791667	4.6673125
104	0.763979167	0.552145833	0.624916667	1.062604167	2.1294375	4.0175	4.649854167
105	0.3424375	0.319354167	0.61	1.087458333	2.089458333	3.969708333	4.600354167
106	0.1393125	0.174020833	0.559729167	1.129604167	2.102583333	3.9695	4.6035
107	0.212708333	0.205520833	0.5380625	1.144416667	2.1335	3.989333333	4.624958333
108	0.297375	0.254208333	0.493520833	1.059916667	2.0604375	3.901020833	4.535291667
109	0.804125	0.545145833	0.577083333	1.124083333	2.120645833	3.9523125	4.5865
110	1.58275	1.153958333	0.789291667	1.135375	2.092125	3.913666667	4.547666667
111	1.9238125	1.488604167	1.0843125	1.255583333	2.110875	3.91975	4.55275
